frame_idx,timestamp,track_id,x1,y1,x2,y2,conf,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
0,0.0,1,371.57,332.66,600.56,777.75,0.882,480.72,384.08,0.1077,474.8,374.74,0.0102,477.27,376.83,0.1505,435.78,377.38,0.2602,469.31,387.31,0.9639,416.36,418.79,0.973,478.42,438.39,0.9977,462.96,439.59,0.5973,551.78,465.85,0.9783,528.87,443.0,0.324,580.63,438.85,0.8198,397.42,560.68,0.996,439.83,568.86,0.9987,404.4,638.55,0.984,455.98,652.79,0.9949,403.87,723.46,0.9332,460.07,737.66,0.9642
0,0.0,2,454.97,203.14,581.0,353.58,0.8371,518.52,201.04,0.014,523.52,194.13,0.0097,513.58,193.9,0.012,532.43,188.47,0.0132,500.15,188.05,0.0212,554.5,204.35,0.356,474.53,204.81,0.27,567.69,259.81,0.7776,465.82,256.58,0.6887,505.79,284.82,0.7155,477.51,281.08,0.6527,545.41,322.77,0.9237,489.94,323.22,0.9067,549.83,409.65,0.354,495.7,409.55,0.2998,555.42,443.4,0.052,517.01,441.61,0.0439
0,0.0,3,0.21,85.74,97.8,254.23,0.8138,52.7,122.11,0.2648,50.42,115.73,0.016,50.7,116.04,0.4346,24.69,115.46,0.0247,39.36,115.66,0.9388,6.69,142.04,0.8154,36.94,145.66,0.9827,21.28,187.93,0.2306,61.05,192.71,0.9674,57.25,198.6,0.1691,86.55,197.75,0.8344,11.23,240.0,0.7309,31.21,243.17,0.9105,29.9,291.1,0.0901,59.53,292.99,0.3267,40.35,312.11,0.0204,66.63,317.03,0.0618
0,0.0,4,120.09,239.72,327.5,682.82,0.8075,230.07,295.48,0.8401,228.19,284.7,0.1378,222.23,287.13,0.8978,204.72,281.73,0.0323,191.48,288.31,0.9693,194.01,324.78,0.9698,167.08,337.7,0.9983,214.83,387.86,0.8166,154.78,417.56,0.9953,250.92,438.03,0.8045,180.13,472.79,0.9867,210.01,462.41,0.9975,193.55,473.31,0.9994,239.55,547.12,0.9957,224.3,559.9,0.9989,263.03,630.76,0.9799,242.42,647.59,0.9905
0,0.0,5,201.99,7.02,261.63,175.37,0.386,248.66,24.84,0.0519,245.96,19.81,0.0238,247.92,20.2,0.0412,229.77,21.01,0.2732,247.9,22.49,0.5149,217.81,46.02,0.8445,251.3,48.89,0.8154,207.84,84.04,0.5953,254.81,89.98,0.5088,214.87,112.65,0.3108,253.11,116.49,0.2441,226.58,119.88,0.806,248.5,122.21,0.7759,234.16,169.61,0.407,249.96,171.66,0.3557,237.51,196.89,0.1529,246.48,200.21,0.1348
0,0.0,6,158.14,7.98,216.41,179.04,0.3427,211.49,29.38,0.1348,209.16,24.46,0.0469,210.55,25.25,0.1228,190.87,24.71,0.2608,207.23,27.05,0.6708,175.98,46.32,0.8825,206.32,50.96,0.9,164.49,78.86,0.5761,208.37,85.74,0.6436,171.11,98.96,0.3438,207.87,103.88,0.3677,178.12,111.64,0.8574,198.16,114.17,0.8589,179.54,160.3,0.5799,197.16,162.31,0.5757,184.08,190.77,0.3026,196.83,194.84,0.3002
1,0.0333,1,371.55,332.62,600.57,777.75,0.881,480.77,384.0,0.1063,474.84,374.68,0.0101,477.3,376.76,0.1485,435.81,377.38,0.2597,469.34,387.3,0.9638,416.47,418.82,0.9731,478.33,438.44,0.9977,463.06,439.58,0.5982,551.67,465.91,0.978,528.62,442.67,0.3236,580.61,438.52,0.8179,397.38,560.67,0.996,439.64,568.86,0.9987,404.34,638.57,0.9839,455.82,652.84,0.9948,403.85,723.41,0.9326,459.97,737.62,0.9637
1,0.0333,2,455.12,203.66,580.75,353.63,0.8362,518.57,200.99,0.0136,523.62,194.09,0.0095,513.65,193.83,0.0116,532.59,188.46,0.0131,500.24,187.98,0.0206,554.57,204.35,0.3486,474.67,204.7,0.2621,567.32,259.79,0.775,465.79,256.36,0.6824,504.9,284.84,0.7128,477.07,281.06,0.6478,545.42,322.79,0.9217,490.0,323.19,0.904,549.76,409.9,0.3473,495.92,409.75,0.2927,555.43,443.87,0.0505,517.4,441.99,0.0425
1,0.0333,3,0.21,85.71,97.82,254.23,0.8152,52.73,122.06,0.2638,50.42,115.68,0.0161,50.73,115.99,0.4305,24.57,115.38,0.0256,39.32,115.6,0.9386,6.5,141.94,0.821,37.05,145.56,0.9829,20.69,188.05,0.2381,60.99,192.77,0.9673,56.36,198.69,0.1728,86.19,197.84,0.8335,11.1,240.05,0.7367,31.31,243.18,0.9118,28.91,291.98,0.0902,59.04,293.84,0.323,39.02,312.96,0.02,65.97,317.86,0.0599
1,0.0333,4,120.3,239.67,327.71,682.72,0.8067,230.23,295.22,0.8399,228.34,284.34,0.1392,222.22,286.9,0.8962,205.4,281.31,0.0325,191.41,288.16,0.9685,196.17,324.41,0.9707,166.19,337.64,0.9983,217.24,387.69,0.824,153.73,417.6,0.9954,252.74,438.04,0.8102,178.85,472.13,0.9868,212.0,462.25,0.9976,193.23,473.31,0.9994,242.14,546.11,0.9958,222.4,559.44,0.9989,265.53,629.67,0.9802,240.43,647.22,0.9905
